,r1,r2,s1,s2
0,-0.21663439615006216,0.4288155594658752,-0.25881799608883166,-0.6182532269308654
1,0.4041820214801022,0.5860077444361528,-0.4788109233685211,-0.5558509591957614
2,0.27451831340936744,-0.24494048355521855,-0.45218747610851223,-0.5534859967821821
3,0.30775926237876816,-0.6700991602493869,-0.3090132806387519,-0.6445797783996159
4,0.259699328265262,-0.11520980998088529,-0.3096628557320963,-0.6131089198003841
5,0.24233611648575462,-0.45325976684310343,-0.6012741109969928,-0.46023689577636073
6,-0.711593184563746,-0.6940549163217576,-0.2664428587159156,-0.6205038697404386
7,0.7025652409402607,-0.3275183385664309,-0.18165572272726213,-0.6714446153856453
8,-0.6520331573732033,-0.6716912405156417,-0.3352448488705825,-0.5920858972651122
9,0.7053878305709267,-0.19959326604218147,-0.276123272924158,-0.6577591412489817
10,0.35187644584231725,0.6992722460080272,-0.5538699547668,-0.4929841206746005
11,-0.07303123796952209,0.48318806669760284,-0.6719414528351139,-0.3048044414080863
12,0.4829518958564914,0.5919365647615524,-0.2609724706667223,-0.6377364347385548
13,0.5716700713150429,-0.5560704666022799,-0.6360219227780182,-0.23111298884827128
14,-0.6454591309798783,-0.5133256584430435,-0.397176500984567,-0.5705532329057413
15,-0.4098791752677177,0.36441058565173867,-0.34705647566380354,-0.588093741416546
16,0.40276552297320434,0.5838075582270957,-0.5197671976801541,-0.5092753749413644
17,0.6124362518999475,0.5128284286225167,-0.6450583635146665,-0.4150464336946513
18,0.3473356520699637,0.6549250442085965,-0.4249652242397761,-0.5836282707638955
19,0.6492171006546482,-0.4013369807612095,-0.4463742045868772,-0.6305046303360886
20,-0.6734637243839917,-0.6991213056002724,-0.5394841663586702,-0.4981351769979338
21,0.5832049805220137,-0.5426536714382021,-0.4608644467223085,-0.6194802571196041
22,0.5422225236479663,0.5239522961833827,-0.3209570472606299,-0.6249767552319272
23,0.4929218153048403,0.6037430779490199,-0.5380815707512016,-0.5038857473341002
24,0.5512018828602931,0.5642556372669718,-0.7192866577572731,-0.1551558346610404
25,0.12605276657174924,-0.710535526453808,-0.3007411307660246,-0.6841124552597084
26,-0.678778129137319,-0.4431690182968897,-0.4836250952136156,-0.5470432665633528
27,-0.21365736768501606,0.4017151478839004,-0.5773674141700826,-0.4741190488895545
28,-0.719029959220337,0.18013557341873915,-0.39925376820588016,-0.5610221235796906
29,-0.1760316900755371,0.5012355893116038,-0.22521886836652713,-0.6498869500714048
30,0.5311559253377521,0.5869068258282977,-0.405172013822159,-0.6094209994354405
