,eigan_values,PCA_components
0,7.090346686009104,1
1,2.0913851819196734,2
2,1.6202924685850864,3
3,1.1454826537795508,4
4,0.4753578951602503,5
5,0.24853357553200517,6
6,0.18423474300786077,7
7,0.09729417517196473,8
8,0.02894945309876404,9
9,0.010302583904836668,10
10,0.0016987973825445708,11
11,0.00041900298674795274,12
12,0.005702783461626019,13
