,K,k_means_score
0,1,5754365.94026418
1,2,2561279.590242798
2,3,1567062.413023571
3,4,1291834.1773787956
4,5,1090017.1102736644
5,6,921034.2145509619
6,7,816464.3788836588
7,8,720289.8820821343
8,9,646459.5979933141
