,eigan_values,PCA_components
0,7.009210321613123,1
1,2.0315555284717277,2
2,1.5606753364301682,3
3,1.1091231828191543,4
4,0.6665752688937335,5
5,0.3491452498833757,6
6,0.16545444840806342,7
7,0.07598492273090966,8
8,0.021237032854738075,9
9,0.006627927436819582,10
10,0.0027184398547054965,11
11,0.0012007570025412272,12
12,0.0004915836009554008,13
